number,max,montee,decente,bin,dec
173.0,520.0,766.0,935.0,11000.0,24.0

153.0,520.0,1304.0,1453.0,11100.0,28.0

115.0,520.0,997.0,1108.0,10111.0,23.0

177.0,532.0,870.0,1043.0,11010.0,26.0

181.0,544.0,439.0,616.0,11001.0,25.0

197.0,592.0,584.0,777.0,11010.0,26.0

174.0,592.0,1022.0,1192.0,11000.0,24.0

131.0,592.0,847.0,974.0,10001.0,17.0

87.0,592.0,1022.0,1105.0,1010.0,10.0

185.0,628.0,2217.0,2398.0,11011.0,27.0

139.0,628.0,1846.0,1981.0,10010.0,18.0

123.0,628.0,2464.0,2583.0,10000.0,16.0

163.0,736.0,1057.0,1216.0,11100.0,28.0

179.0,808.0,1298.0,1473.0,11010.0,26.0

158.0,808.0,1696.0,1850.0,11110.0,30.0

119.0,808.0,1537.0,1652.0,10110.0,22.0

105.0,808.0,1907.0,2008.0,10111.0,23.0

79.0,808.0,1696.0,1771.0,1010.0,10.0

135.0,916.0,2254.0,2385.0,10011.0,19.0

187.0,952.0,3533.0,3716.0,11010.0,26.0

151.0,1024.0,1444.0,1591.0,11101.0,29.0

191.0,4372.0,10885.0,11072.0,11001.0,25.0

169.0,4372.0,11479.0,11644.0,11110.0,30.0

127.0,4372.0,11140.0,11263.0,10010.0,18.0

199.0,9232.0,44952.0,45147.0,11010.0,26.0

195.0,9232.0,41872.0,42063.0,11011.0,27.0

194.0,9232.0,41236.0,41426.0,11000.0,24.0

193.0,9232.0,41408.0,41597.0,11000.0,24.0

190.0,9232.0,41873.0,42059.0,11001.0,25.0

189.0,9232.0,40649.0,40834.0,11010.0,26.0

188.0,9232.0,40365.0,40549.0,11010.0,26.0

183.0,9232.0,40426.0,40605.0,11000.0,24.0

182.0,9232.0,39346.0,39524.0,11000.0,24.0

175.0,9232.0,37903.0,38074.0,11011.0,27.0

171.0,9232.0,42266.0,42433.0,11001.0,25.0

167.0,9232.0,34156.0,34319.0,11110.0,30.0

166.0,9232.0,40783.0,40945.0,11111.0,31.0

165.0,9232.0,40759.0,40920.0,11111.0,31.0

164.0,9232.0,40511.0,40671.0,11100.0,28.0

161.0,9232.0,39912.0,40069.0,11101.0,29.0

159.0,9232.0,23281.0,23436.0,11110.0,30.0

155.0,9232.0,38681.0,38832.0,11111.0,31.0

147.0,9232.0,41521.0,41664.0,10010.0,18.0

146.0,9232.0,41041.0,41183.0,10011.0,19.0

145.0,9232.0,41021.0,41162.0,10011.0,19.0

143.0,9232.0,41682.0,41821.0,10000.0,16.0

142.0,9232.0,40270.0,40408.0,10000.0,16.0

137.0,9232.0,39163.0,39296.0,10010.0,18.0

129.0,9232.0,41495.0,41620.0,10010.0,18.0

126.0,9232.0,42000.0,42122.0,10011.0,19.0

125.0,9232.0,40616.0,40737.0,10011.0,19.0

124.0,9232.0,40428.0,40548.0,10000.0,16.0

121.0,9232.0,39589.0,39706.0,10001.0,17.0

111.0,9232.0,34379.0,34486.0,10101.0,21.0

110.0,9232.0,40894.0,41000.0,10101.0,21.0

109.0,9232.0,40730.0,40835.0,10110.0,22.0

108.0,9232.0,40566.0,40670.0,10110.0,22.0

107.0,9232.0,40127.0,40230.0,10110.0,22.0

103.0,9232.0,38888.0,38987.0,10100.0,20.0

97.0,9232.0,41236.0,41329.0,1010.0,10.0

95.0,9232.0,41873.0,41964.0,1011.0,11.0

94.0,9232.0,40365.0,40455.0,1000.0,8.0

91.0,9232.0,39346.0,39433.0,1001.0,9.0

83.0,9232.0,40783.0,40862.0,1000.0,8.0

82.0,9232.0,40511.0,40589.0,1000.0,8.0

73.0,9232.0,41041.0,41110.0,1000.0,8.0

71.0,9232.0,40270.0,40337.0,1001.0,9.0

63.0,9232.0,42000.0,42059.0,1100.0,12.0

62.0,9232.0,40428.0,40486.0,1100.0,12.0

55.0,9232.0,40894.0,40945.0,1111.0,15.0

54.0,9232.0,40566.0,40616.0,1100.0,12.0

47.0,9232.0,40365.0,40408.0,10.0,2.0

41.0,9232.0,40511.0,40548.0,1.0,1.0

31.0,9232.0,40428.0,40455.0,1.0,1.0

27.0,9232.0,40566.0,40589.0,10.0,2.0

